Scenario,New_PHCs,Method,Population_Weighted_2SFCA,Absolute_Gain,Relative_Gain_Pct,Median,P10,P90,Population_Benefiting,Pct_Total_Population_Benefiting,Baseline_Low_Quintile_Nodes_Improved,Baseline_Low_Quintile_Population_Improved
Baseline,0,Binary_15min,0.8438488753787575,0.0,0.0,0.7850745589839172,0.3334194031627778,1.483967925888863,0.0,0.0,0,0.0
Top_5_New_PHCs,5,Binary_15min,0.8465125397581096,0.002663664379352,0.3156565656565563,0.7860415090500119,0.340746597815816,1.487334948527018,521797.21445274353,2.779785306765884,141,237328.7410197258
Top_10_New_PHCs,10,Binary_15min,0.8491762041374616,0.0053273287587041,0.6313131313131126,0.7881609047247905,0.3422722730315892,1.4887198138855116,556700.6144218445,2.965727193197833,163,271057.5261480808
Top_20_New_PHCs,20,Binary_15min,0.854503532896166,0.0106546575174084,1.2626262626262514,0.797137686479485,0.355800690377935,1.5062216876192405,687356.410675168,3.6617735740695694,287,339935.8258330822
