Scenario,New_PHCs,Method,Population_Weighted_2SFCA,Median,P10,P90,Absolute_Gain,Relative_Gain_Pct
Baseline,0,Binary_15min,0.8438488753787575,0.7850745589839172,0.33341940316277785,1.483967925888863,0.0,0.0
Baseline,0,E2SFCA_3Zone,0.8438488753787574,0.7902243229842221,0.2887649032334258,1.5287428393190765,0.0,0.0
Baseline,0,Gaussian_Moderate,0.8438488753787575,0.7939360198233503,0.31279232345221686,1.495994890917196,0.0,0.0
Baseline,0,Gaussian_Strong,0.8438488753787574,0.7942773143181516,0.2862223238460483,1.5245798164850222,0.0,0.0
Top_5_New_PHCs,5,Binary_15min,0.8465125397581096,0.7860415090500119,0.340746597815816,1.487334948527018,0.00266366437935206,0.3156565656565563
Top_5_New_PHCs,5,E2SFCA_3Zone,0.8465125397581096,0.7913681618599031,0.29100086399397357,1.5297244848998988,0.002663664379352171,0.3156565656565695
Top_5_New_PHCs,5,Gaussian_Moderate,0.8465125397581096,0.7945486333371647,0.3167486997955449,1.497266385446103,0.00266366437935206,0.3156565656565563
Top_5_New_PHCs,5,Gaussian_Strong,0.8465125397581096,0.7948930049194891,0.28849555367839114,1.525402522441114,0.002663664379352171,0.3156565656565695
Top_10_New_PHCs,10,Binary_15min,0.8491762041374616,0.7881609047247905,0.34227227303158925,1.4887198138855116,0.00532732875870412,0.6313131313131126
Top_10_New_PHCs,10,E2SFCA_3Zone,0.8491762041374618,0.7937904489803211,0.2961211427646166,1.5317808529818506,0.005327328758704342,0.631313131313139
Top_10_New_PHCs,10,Gaussian_Moderate,0.8491762041374616,0.7959872801207694,0.3198579100969777,1.5009722998358954,0.00532732875870412,0.6313131313131126
Top_10_New_PHCs,10,Gaussian_Strong,0.8491762041374618,0.7966963523684187,0.29172774827701325,1.5294931398338518,0.005327328758704342,0.631313131313139
Top_20_New_PHCs,20,Binary_15min,0.854503532896166,0.797137686479485,0.35580069037793505,1.5062216876192405,0.010654657517408461,1.2626262626262514
Top_20_New_PHCs,20,E2SFCA_3Zone,0.854503532896166,0.8044622512671133,0.31643950538873566,1.5396493148219073,0.010654657517408572,1.2626262626262648
Top_20_New_PHCs,20,Gaussian_Moderate,0.854503532896166,0.8079105293366494,0.33598549821929313,1.5186087059483724,0.010654657517408461,1.2626262626262514
Top_20_New_PHCs,20,Gaussian_Strong,0.854503532896166,0.8063840530273911,0.3116543983107154,1.5426966258532968,0.010654657517408572,1.2626262626262648
