Ward_ID,LGA,Ward,Population,Routing_Cells,Weighted_2SFCA_per_10000,Median_2SFCA_per_10000,Min_2SFCA_per_10000,Max_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Population,Zero_Access_Pct,2SFCA_Rank,Low_Access_Rank,2SFCA_Quintile
KANO_W025,Bagwai,Kiyawa,34375.45455479622,39,2.0722743444759795,1.8104968979330216,0.9091466375058737,2.526625067749958,23.900788194145726,0.0,0.0,10,475,Very High
KANO_W026,Bagwai,Kwajale,36255.36284780502,67,1.8371799803675202,1.782614480125194,0.1650627969242315,3.2208878655829616,18.152962654072304,0.0,0.0,15,470,Very High
KANO_W027,Bagwai,Rimin Dako,39724.70056796074,55,2.0119281643151816,1.9625060816549,0.6328230767009031,3.2196990845328215,25.872432138254386,0.0,0.0,12,473,Very High
KANO_W028,Bagwai,Romo,31253.129024267197,65,1.680391760268522,1.6145090624800773,0.5768882702135946,2.6214621647337637,14.24558132967551,0.0,0.0,20,465,Very High
KANO_W029,Bagwai,Sare-Sare,29383.2672791481,48,0.9225210180725014,0.8849933781022375,0.40700338390489404,1.4385216512201868,10.23584058824034,0.0,0.0,188,297,High
KANO_W030,Bagwai,Wuro Bagga,33477.731825351715,54,0.9574496988588245,0.8986288103440963,0.5777075888179322,1.518935757134644,10.33862406195486,0.0,0.0,172,313,High
KANO_W031,Bebeji,Anadariya,8706.878468036652,28,0.7549195935777219,0.8134712403142207,0.36934749484084306,1.114009790719316,6.367084596559771,0.0,0.0,304,181,Low
KANO_W032,Bebeji,Baguda,15720.371176481247,25,1.1047051903327771,1.0355613916743307,0.34795041886364014,1.4976754357655657,7.980320652361434,0.0,0.0,114,371,High
KANO_W033,Bebeji,Bebeji,58952.98099374771,55,0.8443131884720595,0.8215284719168752,0.09929235182853363,1.7065124577878183,8.420806464749074,0.0,0.0,226,259,Moderate
KANO_W034,Bebeji,Damau,21675.213315963745,34,0.6338852674841902,0.6693234792383578,0.12929945776063123,1.4137160475193824,5.728479334610117,0.0,0.0,390,95,Very Low
KANO_W035,Bebeji,Durmawa,29779.589923381805,60,1.060543854620702,0.8253251030177897,0.09929235182853363,1.7030874445131912,7.198620323106657,0.0,0.0,126,359,High
KANO_W036,Bebeji,Gargai,21902.19045829773,29,0.7925185753759206,0.9687099864076656,0.2103088630532049,1.2191458699429059,11.007494683102262,0.0,0.0,272,213,Moderate
KANO_W037,Bebeji,Gwarmai,54313.49741625786,73,0.6334974588090387,0.5567671123893276,0.0,1.3746505611065152,7.575148889923969,2461.6489300727844,4.532296845490804,391,94,Very Low
KANO_W038,Bebeji,Kofa,23055.134974956512,7,0.6867002926268916,0.623008426171391,0.49665895136436944,0.901361480210384,7.330795499710911,0.0,0.0,359,126,Low
KANO_W039,Bebeji,Kuki,24537.51567196846,47,0.6358570680283401,0.69906386319389,0.16212944393122836,1.114009790719316,4.8177753322188765,0.0,0.0,389,96,Very Low
KANO_W040,Bebeji,Rahama,27304.87781572342,42,0.9297152409864057,0.7914550383938851,0.3296316351941581,1.2809065916561473,9.717450846691225,0.0,0.0,184,301,High
KANO_W041,Bebeji,Ranka,34916.460077762604,104,0.5629661431028001,0.2113191237804691,0.0,1.6735674325939496,6.1799197487969675,1553.9185101985931,4.4503896063285175,422,63,Very Low
KANO_W042,Bebeji,Rantan,50408.79292225838,67,0.5596412417899295,0.40945646628163157,0.10205861504694076,0.891810437234074,5.149186916305576,0.0,0.0,424,61,Very Low
KANO_W043,Bebeji,Tariwa,28358.654621362686,41,0.6654710261348982,0.6786641706106028,0.2113191237804691,1.7030874445131912,5.411385635084659,0.0,0.0,377,108,Low
