Scenario,New_PHCs,Population_Weighted_Travel_Min,Travel_Time_Improvement_Min,Pop_Within_5min,Pct_Within_5min,Pop_Within_10min,Pct_Within_10min,Pop_Within_15min,Pct_Within_15min,Population_Weighted_2SFCA,TwoSFCA_Improvement,Population_With_Improved_2SFCA,Pct_Population_With_Improved_2SFCA,Additional_PHCs,Additional_2SFCA_Gain,Marginal_2SFCA_Gain_per_New_PHC,Additional_5min_Population,Marginal_5min_Pop_per_New_PHC
Baseline,0,2.454634495815062,0.0,16220158.987998009,86.41011944751746,18354852.014989734,97.78233100121597,18709996.836767554,99.67430422377784,0.8438488753787556,0.0,0.0,0.0,,,,,
Top_5_New_PHCs,5,2.437223337284675,0.01741115853038666,16238774.385246992,86.50928978863666,18357934.238182187,97.79875101746985,18714738.79188764,99.69956617766157,0.8465125397581078,0.002663664379352171,521797.21445274353,2.7797853067658838,5.0,0.002663664379352171,0.0005327328758704342,18615.397248983383,3723.0794497966767
Top_10_New_PHCs,10,2.4143229860133397,0.040311509801722156,16257131.604474545,86.60708473055745,18385281.373402476,97.94443819739708,18732816.164298177,99.79587028358601,0.84917620413746,0.005327328758704342,556700.6144218445,2.965727193197833,5.0,0.002663664379352171,0.0005327328758704342,18357.219227552414,3671.443845510483
Top_20_New_PHCs,20,2.39064970455393,0.06398479126113177,16279114.732127905,86.72419607871146,18427328.447170615,98.16843678270143,18752476.246724725,99.90060600609547,0.8545035328961644,0.010654657517408794,687356.410675168,3.6617735740695703,10.0,0.005327328758704453,0.0005327328758704452,21983.127653360367,2198.3127653360366
