Indicator,Value
PHC nodes,1528.0
Total PHCs,1584.0
Minimum PHCs per 10000,0.0018344078821572252
Median PHCs per 10000,0.06837006217076211
Mean PHCs per 10000,0.10602403134149167
Maximum PHCs per 10000,1.7356074063928824
Minimum population per PHC,5761.671656370162
Median population per PHC,146262.94624876976
Mean population per PHC,836754.0216300992
Maximum population per PHC,5451350.32250309
