Scenario,New_PHCs,Binary_15min,E2SFCA_3Zone,Gaussian_Moderate,Gaussian_Strong
Baseline,0,0.8438488753787575,0.8438488753787574,0.8438488753787575,0.8438488753787574
Top_10_New_PHCs,10,0.8491762041374616,0.8491762041374618,0.8491762041374616,0.8491762041374618
Top_20_New_PHCs,20,0.854503532896166,0.854503532896166,0.854503532896166,0.854503532896166
Top_5_New_PHCs,5,0.8465125397581096,0.8465125397581096,0.8465125397581096,0.8465125397581096
