Method,Demand_Nodes,Population_Weighted_Mean,Median,P10,P90,Minimum,Maximum
Binary_15min,11240,0.8467737388649161,0.7890743402752132,0.3496521349684082,1.4882014184144683,0.0438120562331944,4.007327843407155
E2SFCA_3Zone,11240,0.8467737388649161,0.7963619301970568,0.3041717652227681,1.5314233724595077,0.017664605869391933,4.419703195514381
Gaussian_Moderate,11240,0.8467737388649161,0.7979060283534172,0.3263669115706152,1.5003361054351887,0.022875436500201348,4.196957948426461
Gaussian_Strong,11240,0.8467737388649161,0.7984223156094998,0.3009835189634297,1.5291811769847206,0.013662901801497575,4.296579163999794
