Ward_ID,LGA,Ward,Demand_Population,Weighted_Mean_Time_Min,Pct_Within_5min,Pct_Within_10min,P90_Cell_Time_Min,Population,Weighted_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Pct,Population_Difference,Population_2025,Supply_Underserved,Travel_Underserved,Coverage_Underserved,Underserved_Dimensions,Underserved_Class,Travel_Severity,Supply_Severity,Coverage_Severity,Population_Exposure,Planning_Priority_Score,Planning_Priority_Score_100,Planning_Priority_Class,Planning_Priority_Rank
KANO_W001,Ajingi,Ajingi,25614.35702443123,4.186475247487638,98.93353149394709,100.0,6.261289254870718,25614.35702443123,1.249026298189663,18.648042332055606,0.0,0.0,25614.35702443123,False,True,False,1,Single-Dimension Underserved,0.4097223036581753,0.6129495141419541,0.01684925549783245,0.0645548097229808,0.3505020936051501,35.05020936051501,Low,301
KANO_W002,Ajingi,Balare,24040.603971242905,2.797356611270803,86.1841631780315,99.12808972822356,6.5525022935874375,24040.603971242905,0.9508658562019426,9.334717175819677,0.0,0.0,24040.603971242905,False,False,False,0,Relatively Better Served,0.26393076877153193,0.7251320651975861,0.21827795495928082,0.06021349708668711,0.385663069005474,38.566306900547396,Moderate,253
KANO_W003,Ajingi,Chula,24778.70829319954,2.730665422830268,92.76032201884924,100.0,6.595204795215413,24778.70829319954,1.075751404658142,12.091236897071632,0.0,0.0,24778.70829319954,False,False,False,0,Relatively Better Served,0.25693135887761537,0.6781440096312639,0.11438048412504087,0.062249611719361865,0.34664334961713944,34.66433496171394,Low,312
KANO_W004,Ajingi,Dabin-Kanawa,33965.52364397049,3.101329549192611,86.86441779974207,99.33365816153425,6.314936964931654,33965.52364397049,0.6863516164453866,6.983952120172853,0.0,0.0,33965.52364397049,False,False,False,0,Relatively Better Served,0.2958335019349974,0.8246552682375576,0.20753053592184123,0.08759211223988424,0.43202431848399525,43.20243184839953,High,170
KANO_W005,Ajingi,Dundun,28836.42067742348,2.9920783305804988,78.22460576317339,100.0,7.419853465369338,28836.42067742348,0.7293794891484225,12.517301796431171,0.0,0.0,28836.42067742348,False,False,False,0,Relatively Better Served,0.28436730859885834,0.8084660766260079,0.3440318949691673,0.07344310742848109,0.44809616450686585,44.80961645068658,High,148
KANO_W006,Ajingi,Gafasa,33515.38449525833,3.904167959791269,75.30582842529883,91.58952394521776,10.727071229300265,33515.38449525833,0.7658389888214393,6.303368542551729,0.0,0.0,33515.38449525833,False,True,False,1,Single-Dimension Underserved,0.38009343560481035,0.7947482284223235,0.390145985378783,0.08635037055084636,0.48317166328763994,48.317166328763996,High,111
KANO_W007,Ajingi,Gurduba,20355.09816479683,2.5647308625254888,77.28796654845853,100.0,5.604545202794328,20355.09816479683,1.0275009895420688,9.764075615292477,0.0,0.0,20355.09816479683,False,False,False,0,Relatively Better Served,0.23951610462441583,0.6962981773039736,0.3588299629369023,0.05004676038282924,0.3948322000885203,39.48322000885203,Moderate,235
KANO_W008,Ajingi,Kunkurawa,37590.09017539024,1.998348823995009,96.84398665442644,100.0,6.774971809479155,37590.09017539024,0.7829101559108625,9.608224991753234,0.0,0.0,37590.09017539024,False,False,False,0,Relatively Better Served,0.18007286876482925,0.7883252198541133,0.04986220869376479,0.09759074350675351,0.3545467408431544,35.45467408431544,Low,298
KANO_W009,Ajingi,Toranke,68323.73483967781,5.647460943378123,50.00362953687828,83.68394663776625,11.407562973128572,68323.73483967781,0.7356452414574877,3.847252465781825,0.0,0.0,68323.73483967781,False,True,True,2,Compound Underserved,0.5630564692924317,0.8061085939444435,0.7898982624580451,0.18237174499242018,0.6363903629087567,63.63903629087567,Very High,17
KANO_W010,Ajingi,Unguwar Bai,39893.87610626221,3.4580811307952373,78.28623543471767,97.27205566512713,9.077001740169456,39893.87610626221,0.983392806548527,8.588540183771292,0.0,0.0,39893.87610626221,False,False,False,0,Relatively Better Served,0.333275488025353,0.7128938345201242,0.3430582008786214,0.10394590510770975,0.43369901443153014,43.36990144315301,High,166
