Threshold_Min,Demand_Points,Population,Population_Percent
5,10775,16220158.987998009,86.41011944751746
10,15448,18354852.014989734,97.78233100121597
15,16557,18709996.836767554,99.67430422377784
20,16725,18755549.707133174,99.91697934011813
30,16772,18769639.388280272,99.99203970369405
45,16789,18771133.6261369,100.0
60,16789,18771133.6261369,100.0
