Demand_ID,Grid_Row,Grid_Col,Demand_Cell_Population,Nearest_Node,Snap_Distance_m,Snap_Quality,Demand_Node,Accessible_PHC_Nodes,Accessible_PHC_Count,TwoSFCA_per_Person,Mean_PHC_Travel_Time_Min,Min_PHC_Travel_Time_Min,Max_PHC_Travel_Time_Min,TwoSFCA_per_10000,TwoSFCA_Class,Travel_Time_Min,Ward_ID,LGA,Ward,Planning_Priority_Rank,Planning_Priority_Score_100,Facility_ID,facility_name,Nearest_Existing_PHC_m,Population_Score,Supply_Deficit_Score,Travel_Deficit_Score,PHC_Separation_Score,Ward_Priority_Score,Candidate_Score,Candidate_Score_100,Candidate_Rank,Scenario_Shortlist
KANO_DMD_16232,181,121,121.67992782592773,5173959510,3382.8561697843306,Very Poor,,0.0,0.0,0.0,,,,0.0,Very Low,34.07696554845645,KANO_W388,Sumaila,Massu,30,59.11085957732318,KANO_PHC_0905,Gomo Primary Health Center,18539.7204827532,0.006203266590126129,1.0,1.0,1.0,0.34825548285313124,0.636686528262351,63.668652826235096,1,Top 20
KANO_DMD_10214,104,136,15533.174056529999,2874185547,90.57391567709199,Excellent,2874185547.0,5.0,5.0,2.611502459079591e-05,12.3439824883564,9.134861107639924,14.673375966450935,0.2611502459079591,Very Low,9.134861107639923,KANO_W478,Wudil,Darki,28,59.419132773692496,KANO_PHC_0942,Darki Primary Health Center,574.4173447354428,0.8072767981303625,0.8858141711310394,0.2680655674769638,0.029229761079388353,0.35895803850593555,0.5575299637297632,55.75299637297631,2,Top 20
KANO_DMD_08521,90,106,19240.88923764229,2968317308,39.6344360835928,Excellent,2968317308.0,8.0,8.0,4.956228823139034e-05,10.290381966769033,2.813396548973931,14.424556331475328,0.4956228823139034,Low,2.813396548973931,KANO_W097,Dawakin Kudu,Tsakuwa,56,53.66533323003797,KANO_PHC_0889,Tsakuwa Primary Health Center,1041.2371419534284,1.0,0.7832929108426638,0.08256006671055742,0.05445476076888301,0.15919899180221536,0.5364233543483313,53.642335434833136,3,Top 20
KANO_DMD_12241,118,59,56.18703079223633,8343519364,2068.2086316953882,Very Poor,,0.0,0.0,0.0,,,,0.0,Very Low,29.656551088646772,KANO_W041,Bebeji,Ranka,6,69.87267093059143,KANO_PHC_1056,Gwarmai (Bebeji) Primary Health Center,4238.777379229446,0.002799013512556945,1.0,0.8702814529209187,0.22723653217856957,0.7218814947473017,0.5311696239394664,53.11696239394664,4,Top 20
KANO_DMD_07496,82,112,18075.564987897873,12604995590,59.87333970877398,Excellent,12604995590.0,6.0,6.0,2.4608164004167098e-05,9.726551579958608,0.4458146487101682,14.787312099879893,0.246081640041671,Very Low,0.4458146487101682,KANO_W091,Dawakin Kudu,Dawakiji,62,53.11566465500083,KANO_PHC_0893,Dawakiji Primary Health Center,299.506457468211,0.9394276502760649,0.8924027969420533,0.013082580609363025,0.01437472046782569,0.14011572869592503,0.5237132913799718,52.37132913799718,5,Top 20
KANO_DMD_10791,109,15,2851.1659586429596,13521118499,370.9365688292271,Good,,0.0,0.0,0.0,,,,0.0,Very Low,17.438296296240026,KANO_W367,Rogo,Rogo Ruma,3,70.38912219486232,KANO_PHC_1014,Rogo Tsohuwa Health Post,4745.021034699661,0.1480791285757546,1.0,0.5117326620952584,0.25459183314941025,0.7398115271436267,0.5089401986785522,50.89401986785522,6,Top 20
KANO_DMD_10713,108,98,1728.2899768352509,2824519208,1011.1654512213702,Poor,,0.0,0.0,0.0,,,,0.0,Very Low,23.37121874268331,KANO_W063,Bunkure,Kulluwa,5,69.9863651844584,KANO_PHC_0531,Kulluwa Health Post,2017.5153276631765,0.08971319593376165,1.0,0.6858362640725777,0.10720877222716141,0.7258287048639985,0.5027453979151182,50.27453979151182,7,Top 20
KANO_DMD_06280,73,122,1789.0944259166718,2760198171,283.38142171022844,Good,,0.0,0.0,0.0,,,,0.0,Very Low,18.259177533824626,KANO_W474,Warawa,Yangizo,1,77.8835127673484,KANO_PHC_0633,Alitini Health Post,1892.3508967654825,0.09287374833395311,1.0,0.5358216977348118,0.10044540711422942,1.0,0.5000932751142827,50.00932751142827,8,Top 20
KANO_DMD_13161,124,100,1953.7051916122437,2764325825,604.1719963436213,Moderate,,0.0,0.0,0.0,,,,0.0,Very Low,20.70047321054686,KANO_W346,Rano,Saji,10,67.31121608274971,KANO_PHC_1095,Kurmi Health Post,2237.008720637442,0.10143004575093707,1.0,0.6074623393656161,0.11906928200549147,0.6329535133851817,0.4830772252377462,48.30772252377462,9,Top 20
KANO_DMD_13860,130,3,312.7325460910797,4259347630,2413.1379456112973,Very Poor,,0.0,0.0,0.0,,,,0.0,Very Low,22.735192954251147,KANO_W363,Rogo,Falgore,18,63.29156250598286,KANO_PHC_1119,Tsara Primary Health Clinic,3885.731701131707,0.016133984166601854,1.0,0.6671718736787865,0.20815941254168674,0.49340013470349336,0.46883849533734023,46.88384953373402,10,Top 20
KANO_DMD_10131,104,40,558.178964138031,5917809154,632.7338389792257,Moderate,,0.0,0.0,0.0,,,,0.0,Very Low,22.700680435990844,KANO_W249,Kiru,Baawa,24,60.65167207896408,KANO_PHC_0215,Sakarma Health Post,4002.5234087490226,0.02889203522036467,1.0,0.6661590922381613,0.2144703505223368,0.4017490455227593,0.4642448861443681,46.42448861443681,11,Top 20
KANO_DMD_09214,96,108,3569.4678013324738,2824667834,328.18698480632366,Good,2824667834.0,2.0,2.0,1.7629048824609124e-05,13.207258088901607,12.359123455160766,14.055392722642448,0.17629048824609123,Very Low,12.359123455160766,KANO_W088,Dawakin Kudu,Dabar Kwari,2,70.59323298428582,KANO_PHC_0592,Daba Primary Health Center,2937.1281510449653,0.18541571573789328,0.9229184125325759,0.362682629050009,0.15690082325521318,0.746897797078447,0.4571157468606404,45.71157468606404,12,Top 20
KANO_DMD_00129,5,114,632.8217325210571,3438085328,2138.2096074842925,Very Poor,,0.0,0.0,0.0,,,,0.0,Very Low,19.10514974847553,KANO_W082,Dambatta,Goron Maje,19,63.17885790672455,KANO_PHC_0596,Goron Maje Primary Health Center,4417.792148774491,0.03277188915102043,1.0,0.5606470365240873,0.23690974555362293,0.4894872831805735,0.45644616420122436,45.64461642012244,13,Top 20
