LGA,Population,Weighted_2SFCA_per_10000,Median_2SFCA_per_10000,Min_2SFCA_per_10000,Max_2SFCA_per_10000,Mean_Accessible_PHC_Count,Zero_Access_Population,Zero_Access_Pct,2SFCA_Rank,Low_Access_Rank
Ajingi,336913.79739165306,0.8647862735218946,0.7877672662427457,0.0721395802145623,2.131809761791,8.834646358571703,0.0,0.0,22,23
Albasu,323421.4560689926,0.874982871558727,0.7201419606272382,0.08157486694501088,1.8269800087324368,10.068001057506024,0.0,0.0,20,25
Bagwai,347768.02899718285,1.4158689210460595,1.275079896349888,0.1650627969242315,3.2208878655829616,15.353803878845111,0.0,0.0,2,43
Bebeji,422016.0296421051,0.7702765753319748,0.6693234792383578,0.0,1.8538557763441987,7.82727866734968,4015.5674402713776,0.9515201220382125,28,17
Bichi,572065.6470677853,1.1925300111746397,1.0200192264267818,0.0,3.083908148295824,15.345149669188581,3879.3288707733154,0.678126521083278,9,36
Bunkure,320965.7253165245,0.8470952550477144,0.7373560541348715,0.0,1.6259919756018801,9.620694891659703,5224.223664045334,1.6276578001882906,23,22
Dala,516916.0068848133,0.7702437170686588,0.7963506155407635,0.540335049296329,0.9007690859023204,254.82174449660687,0.0,0.0,29,16
Dambatta,523744.9928946495,0.9347583246631483,0.8768027076235249,0.0,2.0802369773971052,14.558565198404676,3416.975796699524,0.652412117166883,18,27
Dawakin Kudu,558613.7083098888,0.46150042070195063,0.38276435112792684,0.0,1.40142224236696,22.69498838424455,2278.027191400528,0.40780008752252117,44,1
Dawakin Tofa,473385.1325311661,1.3646582120167305,1.1978368198476816,0.12561567360041426,2.9871898134159593,45.878877301824986,0.0,0.0,5,40
Doguwa,235276.98056042194,1.3524033105693671,1.1107840405779954,0.0,4.007327843407155,5.446082860165495,4945.018267631531,2.101785842309206,6,39
Fagge,388695.6176626682,0.7515210826820136,0.7978429145911559,0.20851516242410562,1.1409248280887196,232.46918790622078,0.0,0.0,32,13
Gabasawa,378583.9821944237,0.7284906938338177,0.6418602350512845,0.0,1.5017711521971027,9.585334627314,1057.1362693309784,0.27923428328990446,34,11
Garko,340500.42797756195,0.7630888433720228,0.7098574452685222,0.0,2.103922285196318,9.604509653431775,2194.6642248630524,0.6445408124443458,30,15
Garum Mallam,227958.01232743263,1.31473081325156,1.1445886329724633,0.0,2.1384775570415364,21.37333882807137,403.36999320983887,0.17694925003576942,7,38
Gaya,430242.9638886452,0.7132947298111441,0.6593180257781089,0.0,2.131809761791,11.193611244574413,4329.667423248291,1.006330791354647,37,8
Gezawa,619639.3186731339,0.5466447459233917,0.5008535131401235,0.08208698045462408,1.054646776743788,47.18394392510298,0.0,0.0,42,3
Gwale,637820.6285731792,0.6734181495789612,0.7471146960932574,0.4181841778898071,0.8729903142631521,224.4272393000117,0.0,0.0,39,6
Gwarzo,374616.47957491875,1.020249671116274,0.8798164548859604,0.11510425520780437,2.034930790430901,15.193356727997418,0.0,0.0,12,33
Kabo,291738.00234508514,1.217191879993444,1.0163446728305752,0.1105389796018566,2.7437521207859046,15.004109256064645,0.0,0.0,8,37
Kano Municipal,319773.9369289875,0.8048610854467463,0.8344156331464203,0.6207684173541003,0.9007690859023204,282.27432269784686,0.0,0.0,26,19
Karaye,239512.70547032356,1.1843511490958483,1.1555021275137665,0.10435524292114742,2.161205708958761,13.097696824147592,0.0,0.0,10,35
Kibiya,247080.5810933113,1.0028788767971866,0.9002023075260741,0.0,2.116480898276314,11.440214759501716,347.1725337505341,0.14050984185577195,13,32
Kiru,487510.07459938526,0.8689113437503423,0.7263692890701952,0.0,2.116158154318113,8.695307159189378,6860.105131149292,1.4071719721457305,21,24
Kumbotso,1273212.7758426666,0.5465950217057505,0.49249633640864593,0.12917762883366127,0.8122944333407699,155.13774519237603,0.0,0.0,43,2
Kunchi,231148.4554593563,1.4048390844307252,1.3813192794061564,0.16313256285248937,3.42523614478414,8.689545296605342,0.0,0.0,3,42
Kura,292120.4033918381,0.9744914016250797,0.7793370983018629,0.1592390844482107,2.0735466996082885,23.133786889720565,0.0,0.0,14,31
Madobi,284617.92552256584,0.7540512368386251,0.6075800433285143,0.0592545974495015,2.2870635392738152,10.537646885464406,0.0,0.0,31,14
Makoda,262668.6917386055,0.969571910597617,0.8016484874260541,0.06768194466075447,2.1421628998833913,15.336775153203547,0.0,0.0,15,30
Minjibir,476982.2549726963,0.7358132820382676,0.6023433295719411,0.06529878194323628,2.0509735193696526,18.265495502946084,0.0,0.0,33,12
Nassarawa,924547.6692779064,0.6903144969661522,0.728151616680883,0.3573573811720369,0.9148781089385281,231.21560218642813,0.0,0.0,38,7
Rano,312199.36540579796,0.8443068297098196,0.7910676777790813,0.0,1.3914113116863736,9.788573124815839,4149.483257293701,1.3291132901247849,24,21
Rimin Gado,191098.79310965538,1.3731538543273476,1.1833001866784634,0.1650627969242315,2.830614969869058,15.287740906653728,0.0,0.0,4,41
Rogo,388633.32911503315,0.8247409648230106,0.7130261273371075,0.0,1.7726907671436465,6.601258815867631,3708.6168487071996,0.9542714355333819,25,20
Shanono,294763.50609993935,0.9586624880046789,0.8566667901545126,0.051502092180303057,1.7239591734790323,9.550528494646043,0.0,0.0,16,29
Sumaila,509564.6819958687,0.9508547708755523,0.7628105350774237,0.0,2.2873167929156737,7.972194153975703,9237.491134643555,1.812820130795181,17,28
Takai,456402.26393449306,0.9335072235995774,0.8181113702460389,0.08157486694501088,2.4211295821611523,11.187121338448119,0.0,0.0,19,26
Tarauni,401978.088514328,0.7180948949876393,0.7496854964525812,0.47132721358711893,0.8603132492450529,243.20067303437946,0.0,0.0,36,9
Tofa,222981.0103275776,1.564281711027645,1.1601310705952148,0.1650627969242315,2.9630408917979976,33.10967360040026,0.0,0.0,1,44
Tsanyawa,247318.28291511536,1.1099514449864303,1.0255155205327058,0.0,2.9999056357530907,7.7297720007254345,836.424309015274,0.3381975239179353,11,34
Tudun Wada,434148.70688283443,0.7806431757435575,0.6498621830620415,0.0,1.4125331107358294,7.947788137229283,1106.276196718216,0.2548150389900324,27,18
Ungogo,1288982.3112709522,0.5763954908728793,0.48885763094038814,0.09363536414031147,1.4375931446937154,146.52017139669624,0.0,0.0,40,5
Warawa,269073.5494391918,0.5626980578570482,0.49833301463397983,0.0,1.103995030838681,19.50336301818689,6848.318774700165,2.545147521550729,41,4
Wudil,393931.32394623756,0.719160231199291,0.6707677274286151,0.12925619808794375,1.3382329532347843,17.964702484976623,0.0,0.0,35,10
